Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
37,2,"C6, r2_acc","C6, r2_acc, Scaffold_Factor",0.5693,0.4606,0.1087,0.4977,0.453,-70.47,-50.9,0.7127,0.2923,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",1
39,2,"C6, Polar_acc","C6, Polar_acc, Scaffold_Factor",0.5693,0.4606,0.1087,0.4977,0.453,-70.47,-50.9,0.7127,0.2923,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",2
124,3,"C6, r2_acc, Polar_acc","C6, r2_acc, Polar_acc, Scaffold_Factor",0.5693,0.4606,0.1087,0.4977,0.4428,-68.47,-46.72,0.7127,0.2923,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",3
5,1,C6,"C6, Scaffold_Factor",0.5693,0.4606,0.1087,0.4977,0.4627,-72.47,-55.07,0.7127,0.2923,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",4
129,3,"r2_acc, Polarizability, Polar_acc","r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.568,0.4582,0.1098,0.4984,0.4405,-68.2,-46.46,0.7083,0.2945,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",5
43,2,"r2_acc, Polarizability","r2_acc, Polarizability, Scaffold_Factor",0.568,0.4582,0.1098,0.4984,0.4507,-70.2,-50.63,0.7083,0.2945,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",6
8,1,Polarizability,"Polarizability, Scaffold_Factor",0.568,0.4582,0.1098,0.4984,0.4605,-72.2,-54.81,0.7083,0.2945,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",7
45,2,"Polarizability, Polar_acc","Polarizability, Polar_acc, Scaffold_Factor",0.568,0.4582,0.1098,0.4984,0.4507,-70.2,-50.63,0.7083,0.2945,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",8
127,3,"r2, r2_acc, Polar_acc","r2, r2_acc, Polar_acc, Scaffold_Factor",0.5673,0.4576,0.1096,0.4981,0.4393,-68.06,-46.31,0.7155,0.2909,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",9
6,1,r2,"r2, Scaffold_Factor",0.5673,0.4576,0.1096,0.4981,0.4593,-72.06,-54.66,0.7155,0.2909,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",10
42,2,"r2, Polar_acc","r2, Polar_acc, Scaffold_Factor",0.5673,0.4576,0.1096,0.4981,0.4495,-70.06,-50.49,0.7155,0.2909,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",11
40,2,"r2, r2_acc","r2, r2_acc, Scaffold_Factor",0.5673,0.4576,0.1096,0.4981,0.4495,-70.06,-50.49,0.7155,0.2909,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",12
22,2,"Dipole_1, r2_acc","Dipole_1, r2_acc, Scaffold_Factor",0.5716,0.4574,0.1143,0.4961,0.4542,-70.62,-51.05,0.678,0.3095,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",13
93,3,"Dipole_1, r2_acc, Polar_acc","Dipole_1, r2_acc, Polar_acc, Scaffold_Factor",0.5716,0.4574,0.1143,0.4961,0.4441,-68.62,-46.88,0.678,0.3095,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",14
2,1,Dipole_1,"Dipole_1, Scaffold_Factor",0.5716,0.4574,0.1143,0.4961,0.464,-72.62,-55.23,0.678,0.3095,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",15
24,2,"Dipole_1, Polar_acc","Dipole_1, Polar_acc, Scaffold_Factor",0.5716,0.4574,0.1143,0.4961,0.4542,-70.62,-51.05,0.678,0.3095,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",16
1,1,Monopole,"Monopole, Scaffold_Factor",0.5665,0.4548,0.1117,0.4983,0.4573,-71.81,-54.42,0.7283,0.2843,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",17
17,2,"Monopole, Polar_acc","Monopole, Polar_acc, Scaffold_Factor",0.5665,0.4548,0.1117,0.4983,0.4474,-69.81,-50.24,0.7283,0.2843,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",18
72,3,"Monopole, r2_acc, Polar_acc","Monopole, r2_acc, Polar_acc, Scaffold_Factor",0.5665,0.4548,0.1117,0.4983,0.4372,-67.81,-46.07,0.7283,0.2843,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",19
15,2,"Monopole, r2_acc","Monopole, r2_acc, Scaffold_Factor",0.5665,0.4548,0.1117,0.4983,0.4474,-69.81,-50.24,0.7283,0.2843,"Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",20
89,3,"Dipole_1, r2, r2_acc","Dipole_1, r2, r2_acc, Scaffold_Factor",0.5735,0.4453,0.1282,0.5006,0.4458,-68.82,-47.08,0.624,0.3344,"r2, Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",21
21,2,"Dipole_1, r2","Dipole_1, r2, Scaffold_Factor",0.5735,0.4453,0.1282,0.5006,0.4559,-70.82,-51.25,0.624,0.3344,"r2, Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",22
218,4,"Dipole_1, r2, r2_acc, Polar_acc","Dipole_1, r2, r2_acc, Polar_acc, Scaffold_Factor",0.5735,0.4453,0.1282,0.5006,0.4354,-66.82,-42.9,0.624,0.3344,"r2, Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",23
91,3,"Dipole_1, r2, Polar_acc","Dipole_1, r2, Polar_acc, Scaffold_Factor",0.5735,0.4453,0.1282,0.5006,0.4458,-68.82,-47.08,0.624,0.3344,"r2, Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Benzene",24
245,4,"Q_2, C6, r2_acc, Polar_acc","Q_2, C6, r2_acc, Polar_acc, Scaffold_Factor",0.5951,0.4408,0.1543,0.499,0.4615,-69.89,-45.97,0.6202,0.3361,Scaffold_BX-6,25
111,3,"Q_2, C6, r2_acc","Q_2, C6, r2_acc, Scaffold_Factor",0.5951,0.4408,0.1543,0.499,0.4714,-71.89,-50.15,0.6202,0.3361,Scaffold_BX-6,26
113,3,"Q_2, C6, Polar_acc","Q_2, C6, Polar_acc, Scaffold_Factor",0.5951,0.4408,0.1543,0.499,0.4714,-71.89,-50.15,0.6202,0.3361,Scaffold_BX-6,27
31,2,"Q_2, C6","Q_2, C6, Scaffold_Factor",0.5951,0.4408,0.1543,0.499,0.481,-73.89,-54.32,0.6202,0.3361,Scaffold_BX-6,28
92,3,"Dipole_1, r2_acc, Polarizability","Dipole_1, r2_acc, Polarizability, Scaffold_Factor",0.5737,0.4396,0.1341,0.5058,0.4447,-68.69,-46.94,0.6538,0.3209,"Dipole_1, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",29
23,2,"Dipole_1, Polarizability","Dipole_1, Polarizability, Scaffold_Factor",0.5737,0.4396,0.1341,0.5058,0.4548,-70.69,-51.12,0.6538,0.3209,"Dipole_1, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",30
220,4,"Dipole_1, r2_acc, Polarizability, Polar_acc","Dipole_1, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.5737,0.4396,0.1341,0.5058,0.4342,-66.69,-42.77,0.6538,0.3209,"Dipole_1, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",31
94,3,"Dipole_1, Polarizability, Polar_acc","Dipole_1, Polarizability, Polar_acc, Scaffold_Factor",0.5737,0.4396,0.1341,0.5058,0.4447,-68.69,-46.94,0.6538,0.3209,"Dipole_1, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",32
199,4,"Dipole_1, Q_0, r2_acc, Polar_acc","Dipole_1, Q_0, r2_acc, Polar_acc, Scaffold_Factor",0.5758,0.4363,0.1395,0.5045,0.4346,-66.73,-42.81,0.689,0.3041,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene",33
79,3,"Dipole_1, Q_0, Polar_acc","Dipole_1, Q_0, Polar_acc, Scaffold_Factor",0.5758,0.4363,0.1395,0.5045,0.4451,-68.73,-46.99,0.689,0.3041,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene",34
77,3,"Dipole_1, Q_0, r2_acc","Dipole_1, Q_0, r2_acc, Scaffold_Factor",0.5758,0.4363,0.1395,0.5045,0.4451,-68.73,-46.99,0.689,0.3041,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene",35
18,2,"Dipole_1, Q_0","Dipole_1, Q_0, Scaffold_Factor",0.5758,0.4363,0.1395,0.5045,0.4552,-70.73,-51.16,0.689,0.3041,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene",36
117,3,"Q_2, r2_acc, Polarizability","Q_2, r2_acc, Polarizability, Scaffold_Factor",0.5918,0.4359,0.1559,0.5021,0.467,-71.34,-49.6,0.6165,0.3377,Scaffold_BX-6,37
119,3,"Q_2, Polarizability, Polar_acc","Q_2, Polarizability, Polar_acc, Scaffold_Factor",0.5918,0.4359,0.1559,0.5021,0.467,-71.34,-49.6,0.6165,0.3377,Scaffold_BX-6,38
250,4,"Q_2, r2_acc, Polarizability, Polar_acc","Q_2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.5918,0.4359,0.1559,0.5021,0.4569,-69.34,-45.43,0.6165,0.3377,Scaffold_BX-6,39
34,2,"Q_2, Polarizability","Q_2, Polarizability, Scaffold_Factor",0.5918,0.4359,0.1559,0.5021,0.4766,-73.34,-53.77,0.6165,0.3377,Scaffold_BX-6,40
32,2,"Q_2, r2","Q_2, r2, Scaffold_Factor",0.5896,0.4343,0.1553,0.5032,0.4738,-72.99,-53.42,0.6293,0.332,"Scaffold_Factor, Scaffold_BX-6",41
248,4,"Q_2, r2, r2_acc, Polar_acc","Q_2, r2, r2_acc, Polar_acc, Scaffold_Factor",0.5896,0.4343,0.1553,0.5032,0.4539,-68.99,-45.07,0.6293,0.332,"Scaffold_Factor, Scaffold_BX-6",42
114,3,"Q_2, r2, r2_acc","Q_2, r2, r2_acc, Scaffold_Factor",0.5896,0.4343,0.1553,0.5032,0.4641,-70.99,-49.25,0.6293,0.332,"Scaffold_Factor, Scaffold_BX-6",43
116,3,"Q_2, r2, Polar_acc","Q_2, r2, Polar_acc, Scaffold_Factor",0.5896,0.4343,0.1553,0.5032,0.4641,-70.99,-49.25,0.6293,0.332,"Scaffold_Factor, Scaffold_BX-6",44
56,3,"Monopole, Q_0, r2_acc","Monopole, Q_0, r2_acc, Scaffold_Factor",0.5708,0.4339,0.1369,0.5057,0.4394,-68.06,-46.32,0.7194,0.2889,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",45
58,3,"Monopole, Q_0, Polar_acc","Monopole, Q_0, Polar_acc, Scaffold_Factor",0.5708,0.4339,0.1369,0.5057,0.4394,-68.06,-46.32,0.7194,0.2889,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",46
11,2,"Monopole, Q_0","Monopole, Q_0, Scaffold_Factor",0.5708,0.4339,0.1369,0.5057,0.4495,-70.06,-50.49,0.7194,0.2889,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",47
164,4,"Monopole, Q_0, r2_acc, Polar_acc","Monopole, Q_0, r2_acc, Polar_acc, Scaffold_Factor",0.5708,0.4339,0.1369,0.5057,0.4288,-66.06,-42.14,0.7194,0.2889,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",48
238,4,"Q_0, r2, r2_acc, Polar_acc","Q_0, r2, r2_acc, Polar_acc, Scaffold_Factor",0.5731,0.4319,0.1412,0.5078,0.4309,-66.31,-42.39,0.715,0.2911,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",49
27,2,"Q_0, r2","Q_0, r2, Scaffold_Factor",0.5731,0.4319,0.1412,0.5078,0.4516,-70.31,-50.74,0.715,0.2911,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",50
104,3,"Q_0, r2, r2_acc","Q_0, r2, r2_acc, Scaffold_Factor",0.5731,0.4319,0.1412,0.5078,0.4415,-68.31,-46.56,0.715,0.2911,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",51
106,3,"Q_0, r2, Polar_acc","Q_0, r2, Polar_acc, Scaffold_Factor",0.5731,0.4319,0.1412,0.5078,0.4415,-68.31,-46.56,0.715,0.2911,"Q_0, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",52
82,3,"Dipole_1, Q_2, r2_acc","Dipole_1, Q_2, r2_acc, Scaffold_Factor",0.591,0.4299,0.1611,0.5036,0.4656,-71.18,-49.43,0.5763,0.355,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Pyrimidine",53
84,3,"Dipole_1, Q_2, Polar_acc","Dipole_1, Q_2, Polar_acc, Scaffold_Factor",0.591,0.4299,0.1611,0.5036,0.4656,-71.18,-49.43,0.5763,0.355,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Pyrimidine",54
209,4,"Dipole_1, Q_2, r2_acc, Polar_acc","Dipole_1, Q_2, r2_acc, Polar_acc, Scaffold_Factor",0.591,0.4299,0.1611,0.5036,0.4555,-69.18,-45.26,0.5763,0.355,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Pyrimidine",55
19,2,"Dipole_1, Q_2","Dipole_1, Q_2, Scaffold_Factor",0.591,0.4299,0.1611,0.5036,0.4753,-73.18,-53.61,0.5763,0.355,"Scaffold_BX-6, Scaffold_BZ-6, Scaffold_Pyrimidine",56
52,3,"Monopole, Dipole_1, Polar_acc","Monopole, Dipole_1, Polar_acc, Scaffold_Factor",0.5766,0.4297,0.1469,0.5095,0.4472,-68.98,-47.23,0.5853,0.3512,"Monopole, Scaffold_Factor, Scaffold_BX-6, Scaffold_Pyrimidine",57
10,2,"Monopole, Dipole_1","Monopole, Dipole_1, Scaffold_Factor",0.5766,0.4297,0.1469,0.5095,0.4572,-70.98,-51.41,0.5853,0.3512,"Monopole, Scaffold_Factor, Scaffold_BX-6, Scaffold_Pyrimidine",58
50,3,"Monopole, Dipole_1, r2_acc","Monopole, Dipole_1, r2_acc, Scaffold_Factor",0.5766,0.4297,0.1469,0.5095,0.4472,-68.98,-47.23,0.5853,0.3512,"Monopole, Scaffold_Factor, Scaffold_BX-6, Scaffold_Pyrimidine",59
149,4,"Monopole, Dipole_1, r2_acc, Polar_acc","Monopole, Dipole_1, r2_acc, Polar_acc, Scaffold_Factor",0.5766,0.4297,0.1469,0.5095,0.4368,-66.98,-43.06,0.5853,0.3512,"Monopole, Scaffold_Factor, Scaffold_BX-6, Scaffold_Pyrimidine",60
