Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
508,8,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9919,0.9782,0.0138,1.4112,0.9896,46.42,79.05,0.9853,1.3197,Scaffold_BX-6,1
403,6,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability",0.9919,0.9782,0.0138,1.4112,0.9899,42.42,70.39,0.9853,1.3197,Scaffold_BX-6,2
483,7,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability, Polar_acc",0.9919,0.9782,0.0138,1.4112,0.9898,44.42,74.72,0.9853,1.3197,Scaffold_BX-6,3
481,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability",0.9919,0.9782,0.0138,1.4112,0.9898,44.42,74.72,0.9853,1.3197,Scaffold_BX-6,4
482,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc",0.9915,0.9772,0.0142,1.5361,0.9892,48.76,79.06,0.9717,1.8311,Scaffold_BX-6,5
271,5,"Monopole, Dipole_1, Q_2, C6, r2",0.9915,0.9772,0.0142,1.5361,0.9895,44.76,70.4,0.9717,1.8311,Scaffold_BX-6,6
404,6,"Monopole, Dipole_1, Q_2, C6, r2, Polar_acc",0.9915,0.9772,0.0142,1.5361,0.9893,46.76,74.73,0.9717,1.8311,Scaffold_BX-6,7
402,6,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc",0.9915,0.9772,0.0142,1.5361,0.9893,46.76,74.73,0.9717,1.8311,Scaffold_BX-6,8
283,5,"Monopole, Dipole_1, C6, r2, Polar_acc",0.991,0.9756,0.0154,1.6482,0.9887,50.12,75.76,0.9837,1.3898,Scaffold_BX-6,9
413,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polar_acc",0.991,0.9756,0.0154,1.6482,0.9886,52.12,80.09,0.9837,1.3898,Scaffold_BX-6,10
281,5,"Monopole, Dipole_1, C6, r2, r2_acc",0.991,0.9756,0.0154,1.6482,0.9887,50.12,75.76,0.9837,1.3898,Scaffold_BX-6,11
141,4,"Monopole, Dipole_1, C6, r2",0.991,0.9756,0.0154,1.6482,0.9889,48.12,71.43,0.9837,1.3898,Scaffold_BX-6,12
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9912,0.9752,0.016,1.5987,0.9887,52.34,82.64,0.991,1.0356,"Polarizability, Scaffold_BX-6",13
282,5,"Monopole, Dipole_1, C6, r2, Polarizability",0.9912,0.9752,0.016,1.5987,0.989,48.34,73.97,0.991,1.0356,"Polarizability, Scaffold_BX-6",14
