Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
508,8,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9925,0.9811,0.0115,1.4063,0.9904,47.03,79.66,0.9861,1.3416,Scaffold_BX-6,1
483,7,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability, Polar_acc",0.9925,0.9811,0.0115,1.4063,0.9906,45.03,75.33,0.9861,1.3416,Scaffold_BX-6,2
481,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability",0.9925,0.9811,0.0115,1.4063,0.9906,45.03,75.33,0.9861,1.3416,Scaffold_BX-6,3
403,6,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability",0.9925,0.9811,0.0115,1.4063,0.9907,43.03,71.0,0.9861,1.3416,Scaffold_BX-6,4
482,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc",0.9921,0.9798,0.0123,1.544,0.99,49.45,79.75,0.9735,1.8569,Scaffold_BX-6,5
271,5,"Monopole, Dipole_1, Q_2, C6, r2",0.9921,0.9798,0.0123,1.544,0.9903,45.45,71.09,0.9735,1.8569,Scaffold_BX-6,6
402,6,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc",0.9921,0.9798,0.0123,1.544,0.9902,47.45,75.42,0.9735,1.8569,Scaffold_BX-6,7
404,6,"Monopole, Dipole_1, Q_2, C6, r2, Polar_acc",0.9921,0.9798,0.0123,1.544,0.9902,47.45,75.42,0.9735,1.8569,Scaffold_BX-6,8
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9919,0.9783,0.0136,1.6005,0.9895,52.94,83.24,0.9914,1.0544,"Polarizability, Scaffold_BX-6",9
282,5,"Monopole, Dipole_1, C6, r2, Polarizability",0.9919,0.9783,0.0136,1.6005,0.9899,48.94,74.58,0.9914,1.0544,"Polarizability, Scaffold_BX-6",10
281,5,"Monopole, Dipole_1, C6, r2, r2_acc",0.9917,0.9783,0.0134,1.6533,0.9896,50.78,76.42,0.9846,1.414,Scaffold_BX-6,11
412,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability",0.9919,0.9783,0.0136,1.6005,0.9897,50.94,78.91,0.9914,1.0544,"Polarizability, Scaffold_BX-6",12
414,6,"Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc",0.9919,0.9783,0.0136,1.6005,0.9897,50.94,78.91,0.9914,1.0544,"Polarizability, Scaffold_BX-6",13
413,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polar_acc",0.9917,0.9783,0.0134,1.6533,0.9895,52.78,80.75,0.9846,1.414,Scaffold_BX-6,14
283,5,"Monopole, Dipole_1, C6, r2, Polar_acc",0.9917,0.9783,0.0134,1.6533,0.9896,50.78,76.42,0.9846,1.414,Scaffold_BX-6,15
141,4,"Monopole, Dipole_1, C6, r2",0.9917,0.9783,0.0134,1.6533,0.9898,48.78,72.09,0.9846,1.414,Scaffold_BX-6,16
502,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polarizability",0.993,0.9774,0.0156,1.5514,0.9909,43.26,75.89,0.9883,1.2352,"Scaffold_BX-6, Scaffold_Benzene",17
467,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polarizability",0.993,0.9774,0.0156,1.5514,0.991,41.26,71.56,0.9883,1.2352,"Scaffold_BX-6, Scaffold_Benzene",18
511,9,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.993,0.9774,0.0156,1.5514,0.9907,45.26,80.23,0.9883,1.2352,"Scaffold_BX-6, Scaffold_Benzene",19
504,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polarizability, Polar_acc",0.993,0.9774,0.0156,1.5514,0.9909,43.26,75.89,0.9883,1.2352,"Scaffold_BX-6, Scaffold_Benzene",20
477,7,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polar_acc",0.9919,0.9763,0.0156,1.773,0.9893,54.62,84.92,0.9832,1.4797,"Q_0, Scaffold_BX-6",21
261,5,"Monopole, Dipole_1, Q_0, C6, r2",0.9919,0.9763,0.0156,1.773,0.9896,50.62,76.26,0.9832,1.4797,"Q_0, Scaffold_BX-6",22
392,6,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc",0.9919,0.9763,0.0156,1.773,0.9895,52.62,80.59,0.9832,1.4797,"Q_0, Scaffold_BX-6",23
394,6,"Monopole, Dipole_1, Q_0, C6, r2, Polar_acc",0.9919,0.9763,0.0156,1.773,0.9895,52.62,80.59,0.9832,1.4797,"Q_0, Scaffold_BX-6",24
503,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polar_acc",0.9923,0.9754,0.0168,1.8209,0.9898,51.43,84.06,0.974,1.8389,"Q_0, Q_2, Scaffold_BX-6",25
382,6,"Monopole, Dipole_1, Q_0, Q_2, C6, r2",0.9923,0.9754,0.0168,1.8209,0.9902,47.43,75.4,0.974,1.8389,"Q_0, Q_2, Scaffold_BX-6",26
466,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc",0.9923,0.9754,0.0168,1.8209,0.99,49.43,79.73,0.974,1.8389,"Q_0, Q_2, Scaffold_BX-6",27
468,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polar_acc",0.9923,0.9754,0.0168,1.8209,0.99,49.43,79.73,0.974,1.8389,"Q_0, Q_2, Scaffold_BX-6",28
393,6,"Monopole, Dipole_1, Q_0, C6, r2, Polarizability",0.9925,0.9746,0.018,1.7147,0.9903,46.76,74.73,0.9928,0.9684,"Scaffold_BX-6, Scaffold_Benzene",29
507,8,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc",0.9925,0.9746,0.018,1.7147,0.9899,50.76,83.39,0.9928,0.9684,"Scaffold_BX-6, Scaffold_Benzene",30
