Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
508,8,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9939,0.9863,0.0076,1.4199,0.9921,50.56,83.19,0.9881,1.4139,Scaffold_BX-6,1
403,6,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability",0.9939,0.9863,0.0076,1.4199,0.9924,46.56,74.52,0.9881,1.4139,Scaffold_BX-6,2
483,7,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability, Polar_acc",0.9939,0.9863,0.0076,1.4199,0.9923,48.56,78.85,0.9881,1.4139,Scaffold_BX-6,3
481,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability",0.9939,0.9863,0.0076,1.4199,0.9923,48.56,78.85,0.9881,1.4139,Scaffold_BX-6,4
482,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc",0.9936,0.9847,0.0089,1.5842,0.9918,52.94,83.24,0.9779,1.9243,Scaffold_BX-6,5
271,5,"Monopole, Dipole_1, Q_2, C6, r2",0.9936,0.9847,0.0089,1.5842,0.9921,48.94,74.58,0.9779,1.9243,Scaffold_BX-6,6
402,6,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc",0.9936,0.9847,0.0089,1.5842,0.9919,50.94,78.91,0.9779,1.9243,Scaffold_BX-6,7
404,6,"Monopole, Dipole_1, Q_2, C6, r2, Polar_acc",0.9936,0.9847,0.0089,1.5842,0.9919,50.94,78.91,0.9779,1.9243,Scaffold_BX-6,8
412,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability",0.9934,0.9839,0.0095,1.628,0.9916,54.3,82.27,0.9925,1.1234,"Polarizability, Scaffold_BX-6",9
414,6,"Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc",0.9934,0.9839,0.0095,1.628,0.9916,54.3,82.27,0.9925,1.1234,"Polarizability, Scaffold_BX-6",10
282,5,"Monopole, Dipole_1, C6, r2, Polarizability",0.9934,0.9839,0.0095,1.628,0.9917,52.3,77.94,0.9925,1.1234,"Polarizability, Scaffold_BX-6",11
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9934,0.9839,0.0095,1.628,0.9914,56.3,86.6,0.9925,1.1234,"Polarizability, Scaffold_BX-6",12
