Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
508,8,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9915,0.976,0.0154,1.4186,0.9891,46.6,79.23,0.9847,1.3095,Scaffold_BX-6,1
403,6,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability",0.9915,0.976,0.0154,1.4186,0.9894,42.6,70.56,0.9847,1.3095,Scaffold_BX-6,2
483,7,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability, Polar_acc",0.9915,0.976,0.0154,1.4186,0.9892,44.6,74.89,0.9847,1.3095,Scaffold_BX-6,3
481,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability",0.9915,0.976,0.0154,1.4186,0.9892,44.6,74.89,0.9847,1.3095,Scaffold_BX-6,4
482,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc",0.991,0.9754,0.0156,1.5351,0.9886,48.92,79.22,0.9704,1.8218,Scaffold_BX-6,5
271,5,"Monopole, Dipole_1, Q_2, C6, r2",0.991,0.9754,0.0156,1.5351,0.989,44.92,70.56,0.9704,1.8218,Scaffold_BX-6,6
404,6,"Monopole, Dipole_1, Q_2, C6, r2, Polar_acc",0.991,0.9754,0.0156,1.5351,0.9888,46.92,74.89,0.9704,1.8218,Scaffold_BX-6,7
402,6,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc",0.991,0.9754,0.0156,1.5351,0.9888,46.92,74.89,0.9704,1.8218,Scaffold_BX-6,8
283,5,"Monopole, Dipole_1, C6, r2, Polar_acc",0.9906,0.9738,0.0168,1.6462,0.9882,50.16,75.8,0.9829,1.3857,Scaffold_BX-6,9
413,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polar_acc",0.9906,0.9738,0.0168,1.6462,0.988,52.16,80.13,0.9829,1.3857,Scaffold_BX-6,10
281,5,"Monopole, Dipole_1, C6, r2, r2_acc",0.9906,0.9738,0.0168,1.6462,0.9882,50.16,75.8,0.9829,1.3857,Scaffold_BX-6,11
141,4,"Monopole, Dipole_1, C6, r2",0.9906,0.9738,0.0168,1.6462,0.9884,48.16,71.47,0.9829,1.3857,Scaffold_BX-6,12
