Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
136,4,"Monopole, Dipole_1, Q_2, C6",0.9283,0.8273,0.101,0.2823,0.9138,-137.03,-116.77,0.4417,0.6627,Scaffold_Pyrimidine,1
272,5,"Monopole, Dipole_1, Q_2, C6, r2_acc",0.9283,0.8273,0.101,0.2823,0.9119,-135.03,-112.75,0.4417,0.6627,Scaffold_Pyrimidine,2
406,6,"Monopole, Dipole_1, Q_2, C6, r2_acc, Polar_acc",0.9283,0.8273,0.101,0.2823,0.9098,-133.03,-108.72,0.4417,0.6627,Scaffold_Pyrimidine,3
274,5,"Monopole, Dipole_1, Q_2, C6, Polar_acc",0.9283,0.8273,0.101,0.2823,0.9119,-135.03,-112.75,0.4417,0.6627,Scaffold_Pyrimidine,4
354,5,"Dipole_1, Q_2, r2, Polarizability, Polar_acc",0.9278,0.826,0.1018,0.2867,0.911,-134.44,-112.17,0.4453,0.6605,Scaffold_Pyrimidine,5
457,6,"Dipole_1, Q_2, r2, r2_acc, Polarizability, Polar_acc",0.9278,0.826,0.1018,0.2867,0.9089,-132.44,-108.14,0.4453,0.6605,Scaffold_Pyrimidine,6
206,4,"Dipole_1, Q_2, r2, Polarizability",0.9278,0.826,0.1018,0.2867,0.9129,-136.44,-116.19,0.4453,0.6605,Scaffold_Pyrimidine,7
352,5,"Dipole_1, Q_2, r2, r2_acc, Polarizability",0.9278,0.826,0.1018,0.2867,0.911,-134.44,-112.17,0.4453,0.6605,Scaffold_Pyrimidine,8
201,4,"Dipole_1, Q_2, C6, r2",0.9268,0.8247,0.1021,0.2908,0.9115,-135.53,-115.28,0.452,0.6565,Scaffold_Pyrimidine,9
346,5,"Dipole_1, Q_2, C6, r2, r2_acc",0.9268,0.8247,0.1021,0.2908,0.9095,-133.53,-111.25,0.452,0.6565,Scaffold_Pyrimidine,10
348,5,"Dipole_1, Q_2, C6, r2, Polar_acc",0.9268,0.8247,0.1021,0.2908,0.9095,-133.53,-111.25,0.452,0.6565,Scaffold_Pyrimidine,11
454,6,"Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc",0.9268,0.8247,0.1021,0.2908,0.9074,-131.53,-107.22,0.452,0.6565,Scaffold_Pyrimidine,12
139,4,"Monopole, Dipole_1, Q_2, Polarizability",0.9287,0.8244,0.1043,0.2823,0.9143,-137.31,-117.05,0.4408,0.6632,Scaffold_Pyrimidine,13
411,6,"Monopole, Dipole_1, Q_2, r2_acc, Polarizability, Polar_acc",0.9287,0.8244,0.1043,0.2823,0.9103,-133.31,-109.0,0.4408,0.6632,Scaffold_Pyrimidine,14
280,5,"Monopole, Dipole_1, Q_2, Polarizability, Polar_acc",0.9287,0.8244,0.1043,0.2823,0.9123,-135.31,-113.03,0.4408,0.6632,Scaffold_Pyrimidine,15
278,5,"Monopole, Dipole_1, Q_2, r2_acc, Polarizability",0.9287,0.8244,0.1043,0.2823,0.9123,-135.31,-113.03,0.4408,0.6632,Scaffold_Pyrimidine,16
277,5,"Monopole, Dipole_1, Q_2, r2, Polar_acc",0.9287,0.8205,0.1083,0.2851,0.9123,-135.33,-113.05,0.4418,0.6626,"Scaffold_Benzene, Scaffold_Pyrimidine",17
409,6,"Monopole, Dipole_1, Q_2, r2, r2_acc, Polar_acc",0.9287,0.8205,0.1083,0.2851,0.9103,-133.33,-109.02,0.4418,0.6626,"Scaffold_Benzene, Scaffold_Pyrimidine",18
137,4,"Monopole, Dipole_1, Q_2, r2",0.9287,0.8205,0.1083,0.2851,0.9143,-137.33,-117.07,0.4418,0.6626,"Scaffold_Benzene, Scaffold_Pyrimidine",19
275,5,"Monopole, Dipole_1, Q_2, r2, r2_acc",0.9287,0.8205,0.1083,0.2851,0.9123,-135.33,-113.05,0.4418,0.6626,"Scaffold_Benzene, Scaffold_Pyrimidine",20
410,6,"Monopole, Dipole_1, Q_2, r2, Polarizability, Polar_acc",0.9289,0.8192,0.1097,0.2852,0.9104,-133.36,-109.06,0.4412,0.6629,"r2, Polarizability, Scaffold_Benzene, Scaffold_Pyrimidine",21
485,7,"Monopole, Dipole_1, Q_2, r2, r2_acc, Polarizability, Polar_acc",0.9289,0.8192,0.1097,0.2852,0.9082,-131.36,-105.04,0.4412,0.6629,"r2, Polarizability, Scaffold_Benzene, Scaffold_Pyrimidine",22
408,6,"Monopole, Dipole_1, Q_2, r2, r2_acc, Polarizability",0.9289,0.8192,0.1097,0.2852,0.9104,-133.36,-109.06,0.4412,0.6629,"r2, Polarizability, Scaffold_Benzene, Scaffold_Pyrimidine",23
276,5,"Monopole, Dipole_1, Q_2, r2, Polarizability",0.9289,0.8192,0.1097,0.2852,0.9124,-135.36,-113.09,0.4412,0.6629,"r2, Polarizability, Scaffold_Benzene, Scaffold_Pyrimidine",24
484,7,"Monopole, Dipole_1, Q_2, C6, r2_acc, Polarizability, Polar_acc",0.929,0.8178,0.1113,0.2886,0.9081,-131.31,-104.98,0.4408,0.6632,"C6, Polarizability, Scaffold_Benzene, Scaffold_Pyrimidine",25
347,5,"Dipole_1, Q_2, C6, r2, Polarizability",0.9282,0.8178,0.1104,0.2955,0.911,-134.45,-112.18,0.4453,0.6605,"C6, Polarizability, Scaffold_Benzene, Scaffold_Pyrimidine",26
