Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
49,3,"Monopole, Dipole_1, r2","Monopole, Dipole_1, r2, Scaffold_Factor",0.8247,0.7536,0.0711,0.0428,0.7864,-455.15,-431.98,0.3257,0.1806,Scaffold_BX-6,1
145,4,"Monopole, Dipole_1, r2, r2_acc","Monopole, Dipole_1, r2, r2_acc, Scaffold_Factor",0.8247,0.7536,0.0711,0.0428,0.783,-453.15,-427.66,0.3257,0.1806,Scaffold_BX-6,2
147,4,"Monopole, Dipole_1, r2, Polar_acc","Monopole, Dipole_1, r2, Polar_acc, Scaffold_Factor",0.8247,0.7536,0.0711,0.0428,0.783,-453.15,-427.66,0.3257,0.1806,Scaffold_BX-6,3
288,5,"Monopole, Dipole_1, r2, r2_acc, Polar_acc","Monopole, Dipole_1, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8247,0.7536,0.0711,0.0428,0.7795,-451.15,-423.34,0.3257,0.1806,Scaffold_BX-6,4
132,4,"Monopole, Dipole_1, Q_0, r2","Monopole, Dipole_1, Q_0, r2, Scaffold_Factor",0.8264,0.753,0.0733,0.0427,0.7851,-453.87,-428.38,0.3252,0.1807,"Q_0, Scaffold_BX-6",5
399,6,"Monopole, Dipole_1, Q_0, r2, r2_acc, Polar_acc","Monopole, Dipole_1, Q_0, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8264,0.753,0.0733,0.0427,0.7781,-449.87,-419.75,0.3252,0.1807,"Q_0, Scaffold_BX-6",6
267,5,"Monopole, Dipole_1, Q_0, r2, Polar_acc","Monopole, Dipole_1, Q_0, r2, Polar_acc, Scaffold_Factor",0.8264,0.753,0.0733,0.0427,0.7817,-451.87,-424.07,0.3252,0.1807,"Q_0, Scaffold_BX-6",7
265,5,"Monopole, Dipole_1, Q_0, r2, r2_acc","Monopole, Dipole_1, Q_0, r2, r2_acc, Scaffold_Factor",0.8264,0.753,0.0733,0.0427,0.7817,-451.87,-424.07,0.3252,0.1807,"Q_0, Scaffold_BX-6",8
281,5,"Monopole, Dipole_1, C6, r2, r2_acc","Monopole, Dipole_1, C6, r2, r2_acc, Scaffold_Factor",0.8251,0.7527,0.0724,0.0428,0.78,-451.29,-423.48,0.3246,0.1808,"C6, Scaffold_BX-6",9
283,5,"Monopole, Dipole_1, C6, r2, Polar_acc","Monopole, Dipole_1, C6, r2, Polar_acc, Scaffold_Factor",0.8251,0.7527,0.0724,0.0428,0.78,-451.29,-423.48,0.3246,0.1808,"C6, Scaffold_BX-6",10
