Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
412,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability",0.9954,0.9921,0.0033,0.104,0.9946,-329.76,-301.79,0.9972,0.071,"Polarizability, Scaffold_BX-6",1
414,6,"Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc",0.9954,0.9921,0.0033,0.104,0.9946,-329.76,-301.79,0.9972,0.071,"Polarizability, Scaffold_BX-6",2
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9954,0.9921,0.0033,0.104,0.9945,-327.76,-297.46,0.9972,0.071,"Polarizability, Scaffold_BX-6",3
282,5,"Monopole, Dipole_1, C6, r2, Polarizability",0.9954,0.9921,0.0033,0.104,0.9946,-331.76,-306.12,0.9972,0.071,"Polarizability, Scaffold_BX-6",4
481,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability",0.9954,0.992,0.0034,0.1039,0.9945,-328.04,-297.74,0.9969,0.0752,"Q_2, Scaffold_BX-6",5
483,7,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability, Polar_acc",0.9954,0.992,0.0034,0.1039,0.9945,-328.04,-297.74,0.9969,0.0752,"Q_2, Scaffold_BX-6",6
403,6,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability",0.9954,0.992,0.0034,0.1039,0.9946,-330.04,-302.07,0.9969,0.0752,"Q_2, Scaffold_BX-6",7
508,8,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9954,0.992,0.0034,0.1039,0.9944,-326.04,-293.41,0.9969,0.0752,"Q_2, Scaffold_BX-6",8
392,6,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc",0.9954,0.9919,0.0035,0.1055,0.9945,-329.2,-301.23,0.996,0.0857,"Q_0, Scaffold_BX-6",9
394,6,"Monopole, Dipole_1, Q_0, C6, r2, Polar_acc",0.9954,0.9919,0.0035,0.1055,0.9945,-329.2,-301.23,0.996,0.0857,"Q_0, Scaffold_BX-6",10
261,5,"Monopole, Dipole_1, Q_0, C6, r2",0.9954,0.9919,0.0035,0.1055,0.9946,-331.2,-305.56,0.996,0.0857,"Q_0, Scaffold_BX-6",11
477,7,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polar_acc",0.9954,0.9919,0.0035,0.1055,0.9944,-327.2,-296.9,0.996,0.0857,"Q_0, Scaffold_BX-6",12
283,5,"Monopole, Dipole_1, C6, r2, Polar_acc",0.9954,0.9918,0.0035,0.1053,0.9946,-330.95,-305.32,0.9954,0.0919,Scaffold_BX-6,13
281,5,"Monopole, Dipole_1, C6, r2, r2_acc",0.9954,0.9918,0.0035,0.1053,0.9946,-330.95,-305.32,0.9954,0.0919,Scaffold_BX-6,14
