Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
507,8,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc",0.9784,0.9652,0.0133,0.0855,0.9736,-349.49,-316.86,0.9939,0.0415,"Scaffold_BX-6, Scaffold_Benzene",1
476,7,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polarizability",0.9784,0.9652,0.0133,0.0855,0.9741,-351.49,-321.19,0.9939,0.0415,"Scaffold_BX-6, Scaffold_Benzene",2
478,7,"Monopole, Dipole_1, Q_0, C6, r2, Polarizability, Polar_acc",0.9784,0.9652,0.0133,0.0855,0.9741,-351.49,-321.19,0.9939,0.0415,"Scaffold_BX-6, Scaffold_Benzene",3
393,6,"Monopole, Dipole_1, Q_0, C6, r2, Polarizability",0.9784,0.9652,0.0133,0.0855,0.9745,-353.49,-325.52,0.9939,0.0415,"Scaffold_BX-6, Scaffold_Benzene",4
392,6,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc",0.9781,0.9645,0.0136,0.0864,0.9741,-352.33,-324.36,0.9869,0.0606,Scaffold_BX-6,5
394,6,"Monopole, Dipole_1, Q_0, C6, r2, Polar_acc",0.9781,0.9645,0.0136,0.0864,0.9741,-352.33,-324.36,0.9869,0.0606,Scaffold_BX-6,6
477,7,"Monopole, Dipole_1, Q_0, C6, r2, r2_acc, Polar_acc",0.9781,0.9645,0.0136,0.0864,0.9737,-350.33,-320.03,0.9869,0.0606,Scaffold_BX-6,7
261,5,"Monopole, Dipole_1, Q_0, C6, r2",0.9781,0.9645,0.0136,0.0864,0.9745,-354.33,-328.69,0.9869,0.0606,Scaffold_BX-6,8
467,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polarizability",0.9785,0.964,0.0145,0.0874,0.9741,-351.49,-321.19,0.9939,0.0415,"Q_2, Scaffold_BX-6, Scaffold_Benzene",9
511,9,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9785,0.964,0.0145,0.0874,0.9732,-347.49,-312.53,0.9939,0.0415,"Q_2, Scaffold_BX-6, Scaffold_Benzene",10
502,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polarizability",0.9785,0.964,0.0145,0.0874,0.9736,-349.49,-316.86,0.9939,0.0415,"Q_2, Scaffold_BX-6, Scaffold_Benzene",11
504,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polarizability, Polar_acc",0.9785,0.964,0.0145,0.0874,0.9736,-349.49,-316.86,0.9939,0.0415,"Q_2, Scaffold_BX-6, Scaffold_Benzene",12
413,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polar_acc",0.9774,0.9637,0.0137,0.0895,0.9731,-349.6,-321.63,0.9928,0.0451,Scaffold_BX-6,13
141,4,"Monopole, Dipole_1, C6, r2",0.9774,0.9637,0.0137,0.0895,0.974,-353.6,-330.29,0.9928,0.0451,Scaffold_BX-6,14
281,5,"Monopole, Dipole_1, C6, r2, r2_acc",0.9774,0.9637,0.0137,0.0895,0.9736,-351.6,-325.96,0.9928,0.0451,Scaffold_BX-6,15
283,5,"Monopole, Dipole_1, C6, r2, Polar_acc",0.9774,0.9637,0.0137,0.0895,0.9736,-351.6,-325.96,0.9928,0.0451,Scaffold_BX-6,16
412,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability",0.9774,0.9635,0.014,0.0896,0.9732,-349.8,-321.83,0.9899,0.0533,"Polarizability, Scaffold_BX-6",17
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9774,0.9635,0.014,0.0896,0.9728,-347.8,-317.5,0.9899,0.0533,"Polarizability, Scaffold_BX-6",18
414,6,"Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc",0.9774,0.9635,0.014,0.0896,0.9732,-349.8,-321.83,0.9899,0.0533,"Polarizability, Scaffold_BX-6",19
282,5,"Monopole, Dipole_1, C6, r2, Polarizability",0.9774,0.9635,0.014,0.0896,0.9736,-351.8,-326.17,0.9899,0.0533,"Polarizability, Scaffold_BX-6",20
382,6,"Monopole, Dipole_1, Q_0, Q_2, C6, r2",0.9782,0.9629,0.0153,0.0887,0.9741,-352.35,-324.38,0.9876,0.059,"Q_2, Scaffold_BX-6, Scaffold_Benzene",21
503,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polar_acc",0.9782,0.9629,0.0153,0.0887,0.9732,-348.35,-315.72,0.9876,0.059,"Q_2, Scaffold_BX-6, Scaffold_Benzene",22
468,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, Polar_acc",0.9782,0.9629,0.0153,0.0887,0.9737,-350.35,-320.05,0.9876,0.059,"Q_2, Scaffold_BX-6, Scaffold_Benzene",23
466,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc",0.9782,0.9629,0.0153,0.0887,0.9737,-350.35,-320.05,0.9876,0.059,"Q_2, Scaffold_BX-6, Scaffold_Benzene",24
404,6,"Monopole, Dipole_1, Q_2, C6, r2, Polar_acc",0.9775,0.9627,0.0147,0.0916,0.9732,-349.66,-321.69,0.9919,0.0477,"Q_2, Scaffold_BX-6",25
402,6,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc",0.9775,0.9627,0.0147,0.0916,0.9732,-349.66,-321.69,0.9919,0.0477,"Q_2, Scaffold_BX-6",26
271,5,"Monopole, Dipole_1, Q_2, C6, r2",0.9775,0.9627,0.0147,0.0916,0.9736,-351.66,-326.02,0.9919,0.0477,"Q_2, Scaffold_BX-6",27
482,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc",0.9775,0.9627,0.0147,0.0916,0.9727,-347.66,-317.36,0.9919,0.0477,"Q_2, Scaffold_BX-6",28
480,7,"Monopole, Dipole_1, Q_0, r2, r2_acc, Polarizability, Polar_acc",0.9773,0.9616,0.0157,0.0894,0.9728,-347.76,-317.46,0.995,0.0374,"Scaffold_BX-6, Scaffold_Pyrimidine",29
266,5,"Monopole, Dipole_1, Q_0, r2, Polarizability",0.9773,0.9616,0.0157,0.0894,0.9736,-351.76,-326.12,0.995,0.0374,"Scaffold_BX-6, Scaffold_Pyrimidine",30
400,6,"Monopole, Dipole_1, Q_0, r2, Polarizability, Polar_acc",0.9773,0.9616,0.0157,0.0894,0.9732,-349.76,-321.79,0.995,0.0374,"Scaffold_BX-6, Scaffold_Pyrimidine",31
398,6,"Monopole, Dipole_1, Q_0, r2, r2_acc, Polarizability",0.9773,0.9616,0.0157,0.0894,0.9732,-349.76,-321.79,0.995,0.0374,"Scaffold_BX-6, Scaffold_Pyrimidine",32
483,7,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability, Polar_acc",0.9776,0.9603,0.0173,0.0986,0.9728,-347.82,-317.52,0.9895,0.0543,"Q_2, Polarizability, Scaffold_BX-6",33
481,7,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability",0.9776,0.9603,0.0173,0.0986,0.9728,-347.82,-317.52,0.9895,0.0543,"Q_2, Polarizability, Scaffold_BX-6",34
508,8,"Monopole, Dipole_1, Q_2, C6, r2, r2_acc, Polarizability, Polar_acc",0.9776,0.9603,0.0173,0.0986,0.9723,-345.82,-313.19,0.9895,0.0543,"Q_2, Polarizability, Scaffold_BX-6",35
403,6,"Monopole, Dipole_1, Q_2, C6, r2, Polarizability",0.9776,0.9603,0.0173,0.0986,0.9732,-349.82,-321.85,0.9895,0.0543,"Q_2, Polarizability, Scaffold_BX-6",36
387,6,"Monopole, Dipole_1, Q_0, Q_2, r2, Polarizability",0.9775,0.9584,0.0191,0.0989,0.9732,-349.85,-321.88,0.9949,0.038,"Q_2, Scaffold_BX-6, Scaffold_Pyrimidine",37
472,7,"Monopole, Dipole_1, Q_0, Q_2, r2, r2_acc, Polarizability",0.9775,0.9584,0.0191,0.0989,0.9728,-347.85,-317.55,0.9949,0.038,"Q_2, Scaffold_BX-6, Scaffold_Pyrimidine",38
474,7,"Monopole, Dipole_1, Q_0, Q_2, r2, Polarizability, Polar_acc",0.9775,0.9584,0.0191,0.0989,0.9728,-347.85,-317.55,0.9949,0.038,"Q_2, Scaffold_BX-6, Scaffold_Pyrimidine",39
